TARGET,FixedAcidity,VolatileAcidity,CitricAcid,ResidualSugar,Chlorides,FreeSulfurDioxide,TotalSulfurDioxide,Density,pH,Sulphates,Alcohol,LabelAppeal,AcidIndex,STARS
4,-4.2,0.36,0.26,13.2,0.051,54.0,201.0,0.9976,3.0,1.62,10.8,1,7,1.0
4,7.5,1.43,-1.24,-4.4,0.057,22.0,-201.0,0.9938,0.69,1.17,4.7,1,8,2.0
3,-4.3,-0.4,0.27,7.1,0.049,205.0,321.0,0.99579,3.16,0.38,9.4,1,8,1.0
1,6.8,1.94,0.04,3.5,0.532,25.0,133.0,1.0354,3.17,-0.56,10.2,-2,7,1.0
3,16.9,0.19,0.41,-36.7,0.046,51.0,169.0,0.9954,3.14,1.65,9.8,-1,7,1.0
2,-2.9,0.54,0.03,48.9,0.094,41.0,110.0,0.9982,4.0,0.8,9.2,-1,10,1.0
1,6.3,0.24,0.06,1.8,0.88,6.0,-530.0,0.97646,4.22,-1.11,12.2,-2,7,1.0
0,16.3,0.33,0.49,2.5,0.631,8.0,-297.0,1.01598,2.62,0.82,6.3,-1,13,1.0
6,14.7,0.24,0.84,6.4,0.048,143.0,-196.0,0.9944,2.46,0.55,10.5,1,7,4.0
3,-1.5,0.17,0.3,56.0,0.034,33.0,125.0,0.99152,3.55,0.49,5.7,-1,7,3.0
5,12.5,0.24,-1.0,43.6,0.043,32.0,156.0,1.03256,4.02,0.07,10.1,1,7,3.0
0,7.3,-0.52,-0.97,-36.3,0.048,-255.0,-779.0,0.99044,4.04,0.35,12.0,-1,8,1.0
4,8.0,-0.53,1.53,13.2,0.046,26.0,113.0,0.9983,3.23,0.37,8.4,0,9,4.0
1,23.6,0.4,0.5,1.0,-0.354,174.0,489.0,0.99013,3.66,0.42,15.4,-2,7,1.0
1,6.1,-1.17,0.96,18.15,0.097,41.0,146.0,1.00278,3.3,-0.2,11.5,-2,7,1.0
4,7.0,0.73,-0.92,8.0,1.185,-169.0,164.0,0.97963,4.34,-0.62,9.0,0,8,1.0
5,4.2,0.69,0.58,-24.3,0.188,104.0,161.0,0.954,3.06,0.41,13.1,1,9,1.0
5,17.2,0.37,1.72,-54.7,0.028,24.0,84.0,0.9909,2.75,0.18,11.7,1,7,3.0
7,7.4,0.19,-0.65,12.8,0.053,48.5,-95.0,0.99778,4.02,1.89,2.7,2,8,3.0
3,13.2,0.845,0.01,-25.6,0.172,-117.0,53.0,1.00888,3.32,0.5,11.0,1,9,1.0
4,-2.7,0.18,0.31,32.1,0.216,20.0,210.0,0.96244,3.84,-0.21,10.8,-1,8,3.0
4,-4.5,0.43,0.35,21.3,0.489,264.0,-140.0,0.95018,3.37,0.5,14.7,1,7,1.0
2,15.4,-0.32,0.99,18.2,0.044,38.0,-113.0,1.00467,3.84,0.6,6.9,-1,6,1.0
3,8.4,0.785,0.77,-5.5,-0.541,23.0,431.0,0.98981,3.85,-0.65,11.1,-1,5,3.0
3,13.6,-0.81,1.22,-27.8,0.039,46.0,11.0,0.9982,4.16,-1.22,10.6,0,8,1.0
4,-4.8,-0.5,0.42,37.1,0.028,44.0,205.0,0.97409,4.34,2.36,11.3,-1,7,2.0
2,6.2,1.4,1.64,15.8,0.057,39.0,248.0,1.02858,2.02,1.72,9.2,-1,7,3.0
4,-10.5,0.27,1.86,-58.8,-0.438,-17.0,338.0,0.94096,3.24,0.95,12.63333333,0,7,2.0
3,7.8,0.13,0.29,5.3,0.051,-47.0,545.0,0.94397,2.77,-1.25,7.4,-1,7,1.0
5,7.2,0.72,0.51,6.3,-0.083,-156.0,103.0,0.95501,3.71,1.03,11.4,0,8,2.0
3,7.4,0.37,-0.48,-25.6,0.305,46.0,233.0,1.03005,3.06,0.46,10.3,0,8,1.0
4,12.2,0.19,1.1,11.2,0.061,-63.0,-148.0,0.97994,2.99,-0.38,9.3,0,8,2.0
0,7.6,1.7,-1.03,3.4,0.048,-224.0,116.0,0.9944,4.25,0.41,9.4,0,8,2.0
5,19.8,0.32,0.33,0.7,0.027,488.0,66.0,1.02566,3.11,3.65,11.8,1,7,2.0
5,7.1,0.21,0.32,2.2,0.098,28.0,141.0,0.993,4.34,-1.03,10.0,0,8,1.0
4,-0.2,0.16,-0.69,27.6,0.056,33.0,549.0,0.99825,2.9,0.44,6.1,-1,8,2.0
1,7.3,0.38,-1.08,6.5,0.271,482.0,102.0,0.99304,2.85,0.55,16.1,-1,8,1.0
3,3.4,0.29,0.38,1.2,-0.65,237.0,-107.0,1.03069,3.28,0.36,18.2,-1,6,2.0
2,17.3,1.25,1.3,35.15,0.031,33.0,631.0,0.99296,3.92,-1.05,5.3,-2,7,2.0
4,2.1,1.65,0.27,10.9,-0.306,29.0,130.0,0.99496,2.51,0.77,2.0,-1,7,1.0
4,-2.7,3.06,1.59,4.9,0.028,25.0,-4.0,0.9922,3.68,0.49,16.8,-1,6,4.0
4,5.8,-0.74,0.15,1.1,0.414,26.0,83.0,0.97401,2.77,0.4,11.4,0,6,2.0
4,14.6,0.38,1.51,73.7,-0.271,-51.0,137.0,1.01893,4.02,1.98,12.1,0,8,3.0
2,6.6,0.13,1.27,-15.1,0.04,-115.0,179.0,0.9955,4.23,0.41,9.0,-1,8,2.0
5,2.9,-0.84,0.27,1.6,-0.336,312.0,98.0,0.99299,3.29,0.44,3.2,0,8,1.0
3,8.3,1.21,0.34,7.8,-0.399,84.0,-166.0,0.97462,3.21,-0.75,17.5,-1,8,1.0
5,9.3,0.19,0.29,-51.1,0.042,44.0,189.0,0.99304,3.99,-0.75,10.3,1,7,3.0
3,1.6,0.33,0.31,7.7,-0.175,307.0,-21.0,0.99226,3.11,0.24,8.8,0,8,2.0
3,7.2,0.16,0.32,-44.9,0.04,50.0,-150.0,1.0458,3.27,0.96,10.0,-1,8,2.0
3,-0.8,-0.56,0.42,2.3,-0.139,-453.0,-718.0,0.9972,4.15,-0.65,10.9,-1,8,2.0
3,7.7,-2.54,0.35,15.3,0.638,74.0,148.0,0.99628,1.9,2.02,15.3,0,8,1.0
4,0.4,-0.14,0.04,48.4,0.444,23.0,-30.0,0.99228,4.43,0.61,9.9,0,7,3.0
5,13.8,-1.07,0.49,53.3,0.342,305.0,161.0,0.9937,3.01,0.28,12.1,1,8,3.0
2,8.9,0.27,1.26,10.7,-0.432,19.5,166.0,0.99669,3.13,0.48,16.8,-1,10,2.0
4,16.2,-1.22,0.26,11.0,0.03,2.0,82.0,0.99402,1.9,0.36,11.2,1,7,4.0
5,-14.4,0.155,1.43,-41.0,0.025,357.5,637.0,0.9934,3.18,0.61,3.9,0,8,3.0
4,6.1,0.5,0.38,-19.4,0.144,-10.0,65.0,1.01902,5.14,0.64,11.4,0,7,3.0
3,3.2,-0.63,-0.95,13.4,-0.336,50.0,191.0,0.9989,3.22,0.53,9.0,1,8,1.0
0,6.6,0.22,-0.6,137.6,0.316,39.0,118.0,0.99834,3.05,1.79,9.1,0,7,1.0
0,6.6,-0.86,0.25,-36.9,0.045,45.0,178.0,1.04206,4.26,0.43,15.0,0,7,1.0
5,1.3,-0.15,1.44,-20.8,-0.321,279.0,87.0,0.9936,2.17,0.42,10.9,0,8,2.0
2,14.3,0.99,0.15,1.2,0.053,61.0,573.0,1.03601,3.86,0.43,9.2,-1,8,1.0
3,-2.2,0.655,-1.19,48.8,-0.236,138.0,-339.0,0.96197,2.71,0.88,5.3,1,7,3.0
7,0.8,0.46,1.94,-8.3,0.356,41.0,193.0,0.9928,3.6,0.35,12.2,2,8,4.0
4,6.3,-0.69,-0.04,51.1,0.038,59.0,35.0,1.00701,3.12,0.04,9.5,0,8,2.0
4,-2.2,0.79,0.43,1.6,0.769,31.0,468.0,0.9916,4.02,0.5,7.4,0,9,3.0
3,6.3,-1.04,-0.38,5.9,0.448,82.5,260.0,1.0167,3.12,0.66,15.7,0,7,1.0
4,-3.3,0.56,0.22,9.8,0.049,50.0,47.0,1.03157,3.68,-1.24,17.7,0,6,3.0
4,5.7,0.93,-0.05,6.8,0.167,61.0,-51.0,1.03903,3.09,0.46,15.1,1,7,2.0
4,7.0,0.23,1.94,3.2,0.775,150.0,-237.0,1.02365,3.02,1.29,13.3,0,10,2.0
4,0.4,-0.07,-0.09,9.6,-0.497,-288.0,143.0,1.00784,3.25,-1.98,20.2,-1,7,2.0
6,0.3,0.31,-0.49,53.3,0.036,34.0,114.0,1.03461,2.12,-0.67,6.1,1,8,3.0
0,6.8,0.04,0.09,25.7,0.04,-350.0,339.0,1.03736,2.34,0.46,16.0,0,7,1.0
5,0.4,-0.48,-0.88,14.8,-0.313,-96.0,45.0,0.97751,3.12,0.69,14.5,-1,8,2.0
4,6.6,0.18,0.28,41.5,0.041,53.0,-87.0,0.99207,3.13,0.45,9.3,0,7,2.0
2,7.6,0.29,1.48,35.1,0.051,100.0,146.0,0.9939,3.16,0.39,12.0,-1,8,1.0
5,6.5,-0.35,0.65,17.6,-0.124,34.0,-154.0,0.9923,3.91,0.47,3.0,1,7,2.0
6,6.6,0.18,0.35,1.5,0.049,104.0,241.0,1.03452,3.7,0.04,10.2,1,7,2.0
3,9.0,0.8,0.12,34.0,0.192,8.0,-78.0,1.01622,4.26,1.38,23.2,-1,10,2.0
4,13.6,0.29,-0.3,1.4,0.666,52.0,148.0,0.98378,2.07,-1.24,9.0,0,8,3.0
3,16.9,0.41,1.24,-15.2,0.042,92.0,293.0,0.95241,2.86,1.99,9.7,-1,8,2.0
4,14.3,-0.4,1.24,-33.3,-0.522,26.0,105.0,0.98962,3.19,0.75,12.4,-1,7,3.0
0,-8.2,0.12,0.28,-42.5,-0.073,-83.0,19.0,1.01367,3.23,-0.71,12.0,-1,7,2.0
5,-3.9,0.18,-0.5,12.6,-0.301,155.0,195.0,1.0,3.05,-1.0,10.4,-1,8,1.0
4,9.7,1.35,1.54,-11.7,-0.098,-26.0,-160.0,0.9891,3.03,-0.55,13.3,0,7,1.0
3,5.5,0.24,0.11,1.7,0.046,-206.0,113.0,0.99224,3.22,0.48,10.0,0,6,2.0
7,6.8,0.18,0.3,12.8,0.062,-236.0,-229.0,1.01817,2.85,2.25,8.9,2,7,3.0
4,6.7,0.96,1.07,1.4,0.025,-200.0,76.0,0.98398,1.63,0.44,11.0,0,7,3.0
4,7.6,0.7,0.38,1.9,-0.06,-252.0,188.0,0.98962,3.18,-0.94,12.4,0,7,3.0
0,7.0,0.33,-2.08,-56.0,0.04,176.0,-227.0,0.9828,4.21,1.88,11.0,-2,8,1.0
6,5.8,-0.87,0.3,42.0,0.024,45.0,159.0,1.03792,2.95,2.05,13.7,1,6,4.0
5,4.1,-0.42,0.3,6.1,1.214,45.0,-107.0,0.94727,1.88,0.83,9.9,1,8,3.0
4,11.2,0.85,0.62,-9.5,0.036,56.0,153.0,0.9978,4.35,1.13,6.8,0,9,3.0
3,-1.4,0.25,1.83,-45.4,0.049,145.0,-113.0,0.99154,3.17,0.48,13.4,-1,8,2.0
7,-2.2,0.48,1.06,1.8,0.034,62.0,132.0,0.991,3.68,-1.94,12.6,1,8,4.0
2,1.4,1.64,1.97,75.6,-0.124,6.0,561.0,0.96292,2.94,0.44,9.1,-1,8,2.0
2,3.2,-0.27,0.52,-12.1,-0.13,12.0,276.0,0.9969,3.25,2.3,7.6,-1,10,2.0
6,9.2,-1.0,0.46,6.3,0.032,-45.0,121.0,0.99214,2.21,1.52,5.5,1,7,4.0
0,9.4,0.37,0.3,-57.5,0.04,49.0,139.0,0.99021,3.44,1.88,19.2,-1,8,1.0
3,-4.2,0.32,1.7,60.7,-0.551,267.0,180.0,0.99463,3.27,1.21,11.3,-1,8,3.0
3,5.7,0.77,0.12,2.9,0.082,157.0,74.0,0.971,2.03,0.64,10.4,-1,10,2.0
7,11.4,-0.65,3.09,70.6,0.421,-171.0,150.0,0.995,2.45,0.78,17.9,1,8,3.0
4,6.7,-0.82,1.11,12.5,0.035,199.0,-246.0,0.98535,2.88,1.65,5.2,0,7,2.0
4,11.2,0.14,0.33,-44.7,0.104,116.0,494.0,0.99057,2.99,1.47,20.9,0,8,3.0
4,6.0,-1.12,0.52,51.8,0.816,63.0,515.0,0.99494,3.1,-1.26,9.0,0,7,1.0
3,6.0,-1.18,0.22,12.15,0.116,42.0,163.0,0.9957,3.2,0.46,10.1,0,7,3.0
3,5.4,0.7,0.29,46.5,0.499,256.0,145.0,1.02159,3.68,0.46,10.3,0,6,3.0
4,6.9,0.25,0.35,43.5,0.034,32.0,150.0,0.9947,3.21,0.36,11.5,0,8,3.0
4,6.1,0.12,1.41,52.9,0.046,39.0,-8.0,1.04495,2.36,-1.21,10.6,0,7,2.0
4,6.0,0.76,1.05,-10.4,0.092,15.0,54.0,1.00157,3.78,-0.97,5.3,1,9,2.0
6,7.0,-0.64,1.86,-24.5,-1.147,41.0,23.0,1.02574,3.84,0.37,13.5,1,8,4.0
3,7.0,0.23,-1.19,-53.0,0.157,-57.0,92.0,0.99372,2.45,-1.49,9.3,0,8,2.0
3,7.7,1.63,0.8,5.2,0.076,19.0,-338.0,0.99138,2.95,0.11,6.6,-1,9,2.0
5,11.2,-1.1,-0.32,-45.9,0.028,-74.0,-275.0,0.99484,3.13,1.77,10.9,-1,7,2.0
4,7.4,0.26,-1.22,32.2,0.332,22.0,115.0,0.9928,4.31,0.55,17.9,0,8,3.0
4,6.5,0.19,0.34,62.7,-0.279,265.0,116.0,0.99362,3.21,0.68,19.3,0,7,3.0
0,6.0,0.03,0.13,1.2,0.452,60.0,-520.0,0.99114,3.94,0.22,10.6,0,7,1.0
4,5.7,3.18,0.26,12.5,0.049,-122.5,120.0,0.95985,2.81,1.01,3.9,0,6,2.0
4,4.3,0.26,0.29,56.7,-0.623,40.0,179.0,0.99479,3.8,0.56,13.7,0,7,3.0
1,11.9,0.57,0.1,-10.0,0.094,273.0,-159.0,0.9972,4.33,3.75,9.2,-1,8,1.0
5,6.9,0.55,-0.25,-21.5,0.029,-120.0,107.0,1.01737,2.02,-2.02,9.8,-1,7,3.0
3,7.6,-0.77,1.23,4.6,0.338,33.0,552.0,0.99018,3.04,0.43,13.1,-1,9,1.0
4,6.8,0.23,0.42,-100.7,0.044,56.0,189.0,0.96061,3.22,0.48,11.8,0,7,1.0
5,7.1,-1.1,-1.16,10.7,0.178,-46.0,-174.0,0.9959,3.16,2.1,10.9,0,8,3.0
5,6.3,1.5,1.16,1.7,0.041,-487.0,499.0,1.03032,3.32,0.56,15.2,1,7,3.0
2,6.8,0.22,1.52,-33.0,0.041,-226.0,182.0,0.99104,2.65,0.87,13.1,-1,7,1.0
5,0.2,-0.29,-1.34,-10.2,0.024,298.0,389.0,0.99234,3.37,0.58,12.5,1,6,4.0
6,1.0,0.21,0.27,-110.8,-0.338,-56.0,139.0,1.03285,3.16,0.61,10.3,1,7,3.0
5,15.7,0.18,-0.58,0.0,-0.118,-91.0,-235.0,0.99406,3.11,1.73,13.7,0,7,2.0
4,8.1,0.45,-0.09,8.3,0.037,33.0,565.0,0.9976,3.31,0.64,7.3,1,9,2.0
4,8.2,0.22,0.19,1.1,0.064,36.0,32.0,0.99297,4.2,0.5,13.8,0,7,3.0
3,-6.1,-1.21,1.92,11.3,0.048,232.0,118.0,0.96491,3.18,-0.69,10.3,0,9,1.0
5,6.7,-0.38,0.2,-49.0,0.229,-200.0,471.0,0.9956,3.37,0.64,10.4,1,8,2.0
3,7.2,-0.79,0.37,-4.75,0.253,48.0,103.0,0.99542,3.91,-0.53,15.3,0,7,2.0
3,7.3,-0.95,0.39,-6.9,0.034,-29.0,-234.0,0.9942,3.18,0.46,11.5,0,8,2.0
5,1.9,0.33,0.3,27.8,0.036,-120.0,447.0,0.99028,3.25,2.38,12.5,0,7,3.0
4,7.5,0.36,0.29,1.5,0.046,239.0,7.0,0.95322,2.62,0.45,5.8,0,8,1.0
2,0.4,0.55,0.13,1.7,-0.049,-45.0,165.0,0.994,2.69,0.58,8.8,-2,8,1.0
3,8.3,0.815,-0.85,2.3,-0.23,15.0,471.0,0.97432,3.65,0.66,1.2,0,9,1.0
3,7.0,0.19,0.23,50.5,0.123,27.0,-254.0,0.91284,1.32,0.54,7.2,-1,7,3.0
4,6.8,-0.9,0.18,52.6,-0.082,547.0,521.0,0.96083,2.74,1.86,15.3,0,7,2.0
4,7.2,-0.22,-0.69,43.0,0.538,34.0,140.0,0.99,3.05,0.44,12.7,0,8,2.0
4,7.3,0.145,-0.53,9.1,0.229,14.0,64.0,0.99012,1.28,0.37,13.9,-1,8,1.0
4,17.8,0.22,0.28,7.2,0.06,-28.0,24.0,0.9935,2.99,0.23,8.5,0,8,2.0
4,15.8,1.17,0.52,20.8,-0.195,61.0,339.0,0.96596,2.0,1.33,14.6,0,8,3.0
4,7.4,-0.73,-0.32,1.4,0.025,27.0,2.0,0.9915,3.75,0.33,11.2,0,8,3.0
5,-3.9,0.25,-1.08,5.7,0.052,176.0,152.0,0.99856,3.16,0.88,10.5,1,7,2.0
5,0.8,-1.01,-0.27,49.1,0.488,-206.0,102.0,1.0817,2.63,0.55,12.7,0,7,2.0
5,5.6,0.49,1.2,3.2,-0.484,33.0,249.0,0.99126,2.71,0.58,9.9,1,6,1.0
8,7.9,1.25,0.34,-39.2,-0.058,226.0,17.0,0.99235,2.5,1.05,13.1,2,9,4.0
5,13.3,0.18,0.14,11.5,0.638,-62.0,-156.0,0.99406,3.11,-0.22,9.3,0,7,3.0
4,14.9,1.23,1.87,2.0,0.039,-20.0,-205.0,0.94425,3.63,0.41,11.2,0,8,1.0
4,-1.1,1.22,0.47,2.5,-0.303,9.0,-335.0,0.9981,3.24,0.84,7.7,0,11,3.0
2,-6.0,-0.515,0.39,9.7,0.032,-101.0,68.0,1.06304,3.35,0.34,5.6,-1,6,3.0
0,9.8,0.75,-0.57,-16.6,0.074,-150.0,-387.0,0.99534,3.4,1.56,11.0,1,8,1.0
5,7.2,0.19,0.94,12.8,0.053,48.5,229.0,0.96252,3.14,3.09,3.9,0,8,2.0
5,7.6,1.12,0.27,5.2,-0.407,-41.0,101.0,0.99172,3.22,1.09,12.3,0,8,3.0
3,5.9,0.26,-0.87,-47.6,0.034,36.0,152.0,0.9972,3.28,-0.99,9.5,-1,6,1.0
4,7.0,-1.22,1.82,14.3,-0.343,27.0,93.0,0.998,3.73,0.35,9.2,0,7,2.0
3,-1.0,1.66,-0.32,16.0,0.312,14.0,501.0,1.00676,3.96,0.03,13.2,-1,6,1.0
3,6.8,-0.92,0.86,-113.1,0.052,51.0,925.0,0.99544,3.67,0.95,10.4,-1,7,2.0
2,2.6,0.71,-1.18,5.6,0.046,155.0,324.0,0.96214,3.29,0.51,10.53333333,-1,7,1.0
5,5.3,0.76,-1.29,2.7,0.263,27.0,93.0,0.96273,3.34,0.81,9.2,2,6,3.0
2,11.6,0.85,0.53,-39.3,0.105,33.0,98.0,0.99688,3.2,-0.38,3.5,-1,13,1.0
0,16.8,1.8,0.26,2.0,0.644,13.0,220.0,0.96473,3.36,0.52,20.1,2,8,2.0
4,6.1,0.16,1.96,-0.2,0.042,-18.0,3.0,0.96043,3.57,0.75,10.6,-1,7,2.0
3,6.9,0.4,0.42,6.2,-0.111,210.0,331.0,0.98668,2.58,0.54,19.8,0,8,1.0
4,6.2,-0.55,-0.03,7.6,0.029,178.0,81.0,0.99,2.12,0.42,12.2,0,7,2.0
0,1.2,0.915,0.29,27.0,0.07,15.0,39.0,0.95114,3.53,0.54,6.9,0,8,1.0
4,6.4,0.19,-0.59,52.5,0.032,32.0,-122.0,0.97566,2.95,0.41,11.7,0,7,2.0
4,-0.3,0.39,0.34,13.0,0.055,33.0,-44.0,0.98798,3.63,1.55,6.8,0,10,3.0
3,8.0,0.6,0.22,2.1,0.08,25.0,-121.0,0.99613,3.3,0.49,5.9,0,9,2.0
0,6.8,1.46,1.87,1.1,0.035,26.0,81.0,1.029,4.26,0.52,11.4,-1,6,1.0
4,1.1,1.11,0.37,9.95,-0.026,-224.0,15.0,0.99581,3.58,-0.33,13.9,0,8,2.0
4,6.7,0.15,0.32,7.9,-0.95,17.0,-241.0,0.99512,3.29,0.32,10.0,0,7,2.0
2,2.6,0.58,0.88,1.5,0.02,-87.0,96.0,1.00026,2.18,0.38,12.4,-2,6,3.0
4,7.2,0.645,-0.03,1.9,-0.256,15.0,-334.0,0.99675,3.37,1.32,14.0,0,8,2.0
5,7.9,1.21,1.51,44.3,-0.465,287.0,-10.0,0.94971,4.49,1.97,14.2,0,7,2.0
5,14.3,0.24,0.29,70.1,0.42,56.0,157.0,1.02798,4.33,1.68,9.8,1,7,4.0
4,6.5,0.02,-2.25,-24.7,0.126,-131.0,191.0,0.99297,3.78,0.87,9.5,0,7,3.0
3,10.0,0.84,1.59,2.9,0.263,4.0,187.0,1.02333,2.71,1.1,12.2,-1,11,2.0
2,7.6,1.82,1.75,-54.3,0.049,57.0,636.0,0.99748,3.24,-0.15,9.3,-1,8,1.0
5,6.9,0.36,1.31,-49.25,-0.03,51.0,152.0,1.00361,3.0,1.51,4.0,0,8,4.0
2,6.8,-0.87,0.34,4.6,0.21,94.0,135.0,0.99884,2.18,2.11,10.6,-1,7,2.0
3,14.2,-0.32,1.07,54.7,0.181,-23.0,138.0,0.99125,3.46,-1.16,11.1,-1,7,1.0
3,-4.4,1.16,0.34,1.6,0.469,33.0,314.0,0.9921,2.12,-0.27,5.2,-1,7,3.0
5,15.7,0.7,-0.14,3.3,0.044,-192.0,91.0,1.0418,3.49,1.55,10.8,1,7,3.0
4,3.2,0.23,0.16,7.95,-0.545,72.0,108.0,1.02243,3.44,1.94,8.9,0,6,2.0
0,-1.7,1.8,0.08,1.8,-0.12,22.0,89.0,0.89949,3.34,1.4,11.5,0,8,1.0
6,-15.7,-0.1,0.06,-50.9,0.668,24.0,625.0,0.995,3.28,1.42,6.9,1,9,1.0
3,6.1,-0.05,1.56,59.3,0.335,-205.0,108.0,0.9934,3.23,0.52,9.2,0,7,1.0
6,5.2,0.0,0.45,-49.4,0.022,14.0,49.0,0.9934,3.01,0.33,11.1,1,10,2.0
2,9.7,0.69,0.32,32.0,0.471,22.0,365.0,0.97688,3.29,-1.01,6.3,-1,11,1.0
4,6.4,0.26,0.69,1.7,-0.66,-248.0,60.0,0.9925,4.34,0.54,10.1,1,7,2.0
6,1.1,0.25,0.39,2.1,0.036,7.0,45.0,0.96443,4.29,0.43,12.2,0,8,2.0
3,6.6,0.26,0.46,7.8,0.047,135.0,561.0,0.9664,3.2,-0.51,11.9,0,7,2.0
5,6.3,0.24,-0.37,70.9,0.035,-125.0,12.0,0.96616,3.17,-0.83,8.3,1,7,1.0
3,6.7,1.8,0.18,7.7,-0.17,-227.0,200.0,1.046,3.34,-0.9,9.4,-1,7,1.0
4,6.5,0.41,0.09,65.7,0.048,-135.0,31.0,0.99454,3.44,1.73,9.8,0,7,3.0
3,7.1,0.28,-0.96,1.9,0.615,12.0,86.0,0.90037,3.15,1.12,9.4,0,8,2.0
5,5.1,0.33,0.19,50.2,0.027,273.0,-337.0,0.9893,3.67,0.38,9.7,0,6,1.0
4,6.7,0.26,0.29,7.1,0.119,306.0,550.0,1.04276,3.4,-1.1,8.5,0,7,2.0
4,17.1,0.44,0.26,131.75,-0.245,-115.0,100.0,0.99117,3.17,-0.61,7.3,0,9,3.0
4,17.8,0.41,0.64,-31.5,-0.05,-238.0,127.0,1.02079,3.96,0.79,6.3,-1,7,1.0
3,14.7,0.29,0.52,-12.1,0.164,35.0,192.0,1.04617,3.16,0.51,15.6,-1,7,2.0
2,7.8,-1.64,0.74,-6.6,0.033,-40.0,561.0,1.0919,3.14,0.52,12.8,-2,9,2.0
4,17.6,2.955,0.2,74.4,0.071,140.0,212.0,1.03108,1.73,1.26,3.2,0,8,2.0
6,-2.6,0.32,0.26,38.8,-0.505,253.0,22.0,0.99291,3.36,0.19,11.1,2,7,2.0
2,7.6,0.27,1.89,-28.8,0.043,-370.0,152.0,0.95213,3.02,0.59,13.7,-2,8,1.0
4,5.8,0.25,0.25,-16.3,-0.171,-148.0,-287.0,1.03087,3.37,0.58,4.6,0,6,3.0
4,6.8,0.52,-0.63,-22.6,0.128,-194.0,-72.0,0.9972,3.27,1.41,4.1,0,8,2.0
4,14.6,0.22,0.48,1.5,0.662,-225.0,-135.0,0.9944,2.25,-0.29,2.4,1,8,3.0
2,9.8,0.695,-0.95,2.0,0.076,12.0,-383.0,0.99546,3.29,0.54,10.1,-1,8,1.0
5,1.9,-0.92,1.82,4.7,0.274,326.0,205.0,0.99042,3.57,0.11,12.5,-1,7,4.0
5,6.9,0.38,0.28,8.3,0.062,22.0,166.0,0.98958,3.16,0.72,10.6,2,8,3.0
4,9.7,0.26,1.37,3.8,0.029,-109.0,-125.0,0.99011,4.13,0.34,12.0,0,7,1.0
4,6.3,0.27,1.81,20.5,0.044,59.0,-56.0,0.99077,3.14,2.01,11.7,0,7,3.0
4,4.1,0.885,0.27,2.3,0.084,31.0,145.0,0.97161,2.75,0.53,9.4,1,11,2.0
5,6.6,0.34,0.22,38.0,0.046,325.0,133.0,1.0571,2.94,-0.42,10.1,1,7,2.0
3,3.1,0.2,0.36,20.4,0.066,31.0,132.0,0.995,4.16,2.2,10.9,-1,8,2.0
